,StateCode,ImportDate,NetworkId,NetworkName,NetworkURL,MarketCoverage
25,AZ,2013-06-06 10:50:48,AZN001,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,
26,AZ,2014-01-16 07:24:04,AZN001,Phoenix HMOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=762,
27,AZ,2014-01-16 07:24:04,AZN002,Tucson HMOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=801,
28,AZ,2014-03-19 07:06:49,AZN001,Delta Dental PPO,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl?ViewProduct=B20,
29,AZ,2014-03-19 07:06:49,AZN002,Delta Dental PPO plus Premier,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl?ViewProduct=B01,
30,AZ,2014-03-19 07:06:49,AZN003,Delta Dental Premier,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl?ViewProduct=B01,
31,AZ,2013-09-16 06:33:22,AZN001,Premier Access Dental,www.premierlife.com/providersearch,
32,AZ,2014-03-19 07:06:49,AZN001,AZ PPO,https://www.healthnet.com/portal/providerSearch.action,
33,AZ,2013-07-01 08:34:30,AZN001,Ameritas PPO Dental Network,www.standard.com,
34,AZ,2014-01-16 07:24:04,AZN001,Statewide PPO,www.azblue.com/PPO,
35,AZ,2014-01-16 07:24:04,AZN002,Alliance,www.azblue.com/Alliance,
36,AZ,2014-01-16 07:24:04,AZN003,Select,www.azblue.com/Select,
37,AZ,2014-01-17 09:36:20,AZN001,Dentegra Dental PPO,http://www.dentegra.com/find-a-dentist,
38,AZ,2013-11-23 14:44:18,AZN001,Meritus HMO Network,http://www.meritusaz.com/hmo-provider-search1.html,
39,AZ,2013-11-23 14:44:18,AZN002,Meritus Neighborhood Network Maricopa,http://www.meritusaz.com/provider-search1.html,
40,AZ,2013-11-23 14:44:18,AZN003,Meritus Community Network Phoenix,http://www.meritusaz.com/provider-search1.html,
41,AZ,2013-11-23 14:44:18,AZN004,Meritus Community Network Pima,http://www.meritusaz.com/provider-search1.html,
42,AZ,2014-03-19 07:06:49,AZN001,Humana Dental PPO/Traditional Preferred,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,
43,AZ,2014-01-17 09:36:20,AZN001,Health Choice Essential,http://www.healthchoiceessential.com/members/FindProvider.aspx,
44,AZ,2014-01-21 08:29:49,AZN001,DenteMax,http://www2.dentemax.com/,
45,AZ,2014-01-21 08:29:49,AZN002,Total Dental Administrators (TDA),http://www.totaldentaladmin.com/,
46,AZ,2013-09-17 16:07:07,AZN001,QHP PPO_OAMC_Arizona,http://www.aetna.com/individuals-families-health-insurance/buy-insurance/exchange/az.html,
47,AZ,2013-10-15 07:27:56,AZN001,Arizona Local Plus,www.Cigna.com/ifp-providers,
48,AZ,2014-01-17 09:36:20,AZN001,UHM Primary,http://uamarketplace.com/providerlookup.aspx,
49,AZ,2014-01-17 09:36:20,AZN002,MIHS Limited,http://uamarketplace.com/providerlookup.aspx,
50,AZ,2014-01-17 09:36:20,AZN003,Apache,http://uamarketplace.com/providerlookup.aspx,
51,AZ,2014-01-17 09:36:20,AZN004,Cochise,http://uamarketplace.com/providerlookup.aspx,
52,AZ,2014-01-17 09:36:20,AZN005,Coconino,http://uamarketplace.com/providerlookup.aspx,
53,AZ,2014-01-17 09:36:20,AZN006,Gila,http://uamarketplace.com/providerlookup.aspx,
54,AZ,2014-01-17 09:36:20,AZN007,Greenlee,http://uamarketplace.com/providerlookup.aspx,
55,AZ,2014-01-17 09:36:20,AZN008,Graham,http://uamarketplace.com/providerlookup.aspx,
56,AZ,2014-01-17 09:36:20,AZN009,La Paz,http://uamarketplace.com/providerlookup.aspx,
57,AZ,2014-01-17 09:36:20,AZN010,Maricopa,http://uamarketplace.com/providerlookup.aspx,
58,AZ,2014-01-17 09:36:20,AZN011,Mohave,http://uamarketplace.com/providerlookup.aspx,
59,AZ,2014-01-17 09:36:20,AZN012,Navajo,http://uamarketplace.com/providerlookup.aspx,
60,AZ,2014-01-17 09:36:20,AZN013,Pima,http://uamarketplace.com/providerlookup.aspx,
61,AZ,2014-01-17 09:36:20,AZN014,Pinal,http://uamarketplace.com/providerlookup.aspx,
62,AZ,2014-01-17 09:36:20,AZN015,Santa Cruz,http://uamarketplace.com/providerlookup.aspx,
63,AZ,2014-01-17 09:36:20,AZN016,Yavapai,http://uamarketplace.com/providerlookup.aspx,
64,AZ,2014-01-17 09:36:20,AZN017,Yuma,http://uamarketplace.com/providerlookup.aspx,
65,AZ,2014-01-17 09:36:20,AZN018,GSA10,http://uamarketplace.com/providerlookup.aspx,
66,AZ,2014-01-17 09:36:20,AZN019,GSA2,http://uamarketplace.com/providerlookup.aspx,
67,AZ,2014-01-17 09:36:20,AZN020,GSA8,http://uamarketplace.com/providerlookup.aspx,
68,AZ,2014-01-17 09:36:20,AZN021,GSA14,http://uamarketplace.com/providerlookup.aspx,
69,AZ,2013-07-01 08:34:30,AZN001,Ameritas PPO Dental Network,www.ameritasgroup.com,
70,AZ,2014-01-21 08:29:49,AZN001,AZ HMO CommunityCare Network,https://www.healthnet.com/portal/providerSearch.action,
71,AZ,2014-01-21 08:29:49,AZN002,AZ HMO,https://www.healthnet.com/portal/providerSearch.action,
72,AZ,2014-01-21 08:29:49,AZN003,AZ HMO ExcelCare Network,https://www.healthnet.com/portal/providerSearch.action,
73,AZ,2013-11-23 14:44:18,AZN001,Meritus PPO Network,https://www.azfmc.com/meritussearch,
74,AZ,2013-09-12 11:27:35,AZN001,Advantage Plus,https://secure.ucci.com/tp2fad/?network=074,
75,FL,2014-01-16 07:24:04,FLN001,Humana Dental PPO/Traditional Preferred,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,
76,FL,2014-01-17 09:36:20,FLN001,NetworkBlue,http://opd.bcbsfl.com,
77,FL,2014-01-17 09:36:20,FLN002,BlueSelect,http://opd.bcbsfl.com,
78,FL,2013-11-26 13:14:08,FLN001,QHP PPO_OAMC_Florida,http://www.aetna.com/individuals-families-health-insurance/buy-insurance/exchange/fl.html,
79,FL,2014-03-19 07:06:49,FLN001,Health First Health Plans,www.healthfirsthealthplans.org,
80,FL,2013-09-19 06:29:55,FLN001,Blue Dental Choice,http://floridabluedental.com/find-a-dentist.aspx,
81,FL,2013-10-15 07:27:56,FLN001,EHB Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_FL&planType=DUAL&custNum=0383201&networkID=2,
82,FL,2013-10-15 07:27:56,FLN002,EHB Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_FL&planType=DUAL&custNum=0383201&networkID=2,
83,FL,2013-10-15 07:27:56,FLN003,Family Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_FL&planType=DUAL&custNum=0383201&networkID=2,
84,FL,2013-10-15 07:27:56,FLN004,Family Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_FL&planType=DUAL&custNum=0383201&networkID=2,
85,FL,2014-01-17 09:36:20,FLN001,BlueCare,http://opd.bcbsfl.com,
86,FL,2014-03-19 07:06:49,FLN001,HMO Premier,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=347,
87,FL,2014-03-19 07:06:49,FLN002,South Florida HUMx HMOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=798,
88,FL,2014-03-19 07:06:49,FLN003,Tampa Bay HUMx HMOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=799,
89,FL,2013-09-17 16:07:07,FLN001,EssentialSmile PPO,www.Solsticecare.com/provider-search.aspx,
90,FL,2013-10-15 07:27:56,FLN001,Florida LocalPlus Network,www.Cigna.com/ifp-providers,
91,FL,2013-11-26 13:14:08,FLN001,Renaissance Dental,www.renaissancedental.com/Find-a-Dentist,
92,FL,2013-11-26 13:14:08,FLN002,Delta Dental,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl,
93,FL,2013-09-10 14:43:20,FLN001,Advantage Plus,https://secure.ucci.com/tp2fad/?network=074,
94,FL,2014-01-21 08:29:49,FLN001,Miami Dade A,http://www.pmpmarketplace.com/plans/providers.pdf,
95,FL,2014-01-21 08:29:49,FLN002,Miami Dade B,http://www.pmpmarketplace.com/plans/providers.pdf,
96,FL,2014-01-21 08:29:49,FLN003,Broward,http://www.pmpmarketplace.com/plans/51398FL0650001/providers.pdf,
97,FL,2013-10-15 07:27:56,FLN001,Molina Marketplace,http://www.molinahealthcare.com/providersearch,
98,FL,2014-03-19 07:06:49,FLN001,FHCP HMO Network,http://www.fhcp.com/individual-plans/,
99,FL,2014-03-19 07:06:49,FLN002,FHCP Partners In Care Network,http://www.fhcp.com/individual-plans/,
100,FL,2013-10-15 07:27:56,FLN001,Carelink from CoventryOne,http://fl.coventryproviders.com,
101,FL,2013-10-15 07:27:56,FLN002,CoventryOne Exchange HMO,http://fl.coventryproviders.com,
102,FL,2013-08-30 07:44:10,FLN001,DentaQuest of Florida Inc,www.dentaquest.com,
103,FL,2014-03-19 07:06:49,FLN001,Health First Insurance,www.healthfirstinsurance.org,
104,FL,2013-08-30 07:44:10,FLN001,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,
105,FL,2013-08-30 07:44:10,FLN001,Ambetter from Sunshine Health,http://ambetter.sunshinehealth.com/findadoc,
106,FL,2014-01-21 08:29:49,FLN001,Delta Dental PPO,http://www.deltadentalins.com/find-a-dentist/,
107,FL,2014-01-21 08:29:49,FLN002,DeltaCare USA DHMO,http://www.deltadentalins.com/find-a-dentist/,
108,FL,2013-10-15 07:27:56,FLN001,EHB Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_FL&planType=DUAL&custNum=0383201&networkID=2,
109,FL,2013-10-15 07:27:56,FLN002,EHB Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_FL&planType=DUAL&custNum=0383201&networkID=2,
110,FL,2013-10-15 07:27:56,FLN003,Family Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_FL&planType=DUAL&custNum=0383201&networkID=2,
111,FL,2013-10-15 07:27:56,FLN004,Family Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_FL&planType=DUAL&custNum=0383201&networkID=2,
112,FL,2014-01-17 09:36:20,FLN001,Dentegra Dental PPO,http://www.dentegra.com/find-a-dentist,
113,GA,2014-01-17 09:36:20,GAN001,Dentegra Dental PPO,http://www.dentegra.com/find-a-dentist,
114,GA,2014-03-19 07:06:49,GAN001,National POS Open Access,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=319,
115,GA,2014-03-19 07:06:49,GAN002,Humana Dental PPO Traditional Preferred,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,
116,GA,2013-08-30 07:44:10,GAN001,Ambetter from Peach State Health Plan,http://ambetter.pshpgeorgia.com/findadoc,
117,GA,2014-01-16 07:24:04,GAN001,Pathway X,https://www.bcbsga.com/health-insurance/provider-directory/searchcriteria?brand=bcbsga,
118,GA,2014-01-16 07:24:04,GAN002,Pathway X (with dental),https://www.bcbsga.com/health-insurance/provider-directory/searchcriteria?brand=bcbsga,
119,GA,2013-06-06 10:50:48,GAN001,GA PPO,cigna.benefitnation.net/Cignadol/default.asp?employer=ISG-01&,
120,GA,2013-06-06 10:50:48,GAN001,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,
121,GA,2013-09-12 11:27:35,GAN001,Advantage Plus,https://secure.ucci.com/tp2fad/?network=074,
122,GA,2013-10-16 16:52:58,GAN001,EHB Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_GA&planType=DPPO&networkID=2,
123,GA,2013-10-16 16:52:58,GAN002,EHB Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_GA&planType=DPPO&networkID=2,
124,GA,2013-10-16 16:52:58,GAN003,Family Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_GA&planType=DPPO&networkID=2,
125,GA,2013-10-16 16:52:58,GAN004,Family Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_GA&planType=DPPO&networkID=2,
126,GA,2014-05-02 13:10:05,GAN001,Dental Prime,www.bcbsga.com,
127,GA,2013-09-02 11:39:25,GAN001,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,
128,GA,2013-11-26 13:14:08,GAN001,Renaissance Dental,www.renaissancedental.com/Find-a-Dentist,
129,GA,2013-11-26 13:14:08,GAN002,Delta Dental,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl,
130,GA,2014-01-21 08:29:49,GAN001,DenteMax,http://www2.dentemax.com/,
131,GA,2014-03-19 07:06:49,GAN001,FFE and SHOP,www.AHPAssist.com,
132,GA,2014-01-21 08:29:49,GAN001,Delta Dental PPO,http://www.deltadentalins.com/find-a-dentist/,
133,GA,2014-01-17 09:36:20,GAN001,Kaiser Permanente HMO,https://healthy.kaiserpermanente.org/health/care/consumer/locate-our-services/doctors-and-locations,
134,GA,2014-01-16 07:24:04,GAN001,Atlanta HMOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=804,
135,GA,2014-01-16 07:24:04,GAN002,Columbus GA HMOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=758,
136,GA,2014-01-16 07:24:04,GAN003,Savannah HMOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=805,
137,GA,2014-01-16 07:24:04,GAN004,National POS Open Access,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=319,
138,IL,2013-10-16 16:52:58,ILN001,EHB Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_IL&planType=DPPO&networkID=2,
139,IL,2013-10-16 16:52:58,ILN002,EHB Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_IL&planType=DPPO&networkID=2,
140,IL,2013-10-16 16:52:58,ILN003,Family Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_IL&planType=DPPO&networkID=2,
141,IL,2013-10-16 16:52:58,ILN004,Family Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_IL&planType=DPPO&networkID=2,
142,IN,2014-03-19 07:06:49,INN001,[Indiana Individual On Exchange Network] Pathway X HMO POS,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,
143,IN,2014-03-19 07:06:49,INN002,[Indiana Individual On Exchange Network] Pathway X HMO POS (with dental),https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,
144,IN,2014-03-19 07:06:49,INN003,[Indiana Small Group On Exchange Network] Blue Preferred HMO POS,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,
145,IN,2014-03-19 07:06:49,INN004,[Indiana Individual Off Exchange Network] Pathway HMO POS,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,
146,IN,2014-03-19 07:06:49,INN005,[Indiana Small Group Off Exchange Network] Blue Preferred HMO POS,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,
147,IN,2014-03-19 07:06:49,INN006,Dental Prime,www.anthem.com,
148,IN,2013-08-30 07:44:10,INN001,Ambetter from MHS,http://ambetter.mhsindiana.com/findadoc,
149,IN,2013-06-28 08:36:25,INN001,Dentemax,http://www2.dentemax.com/Members/FindADentist.aspx,
150,IN,2013-11-26 13:14:08,INN001,PHP Premier,http://www.phpni.com/marketplace/providerdirectory,
151,IN,2013-11-26 13:14:08,INN002,PHP Select,http://www.phpni.com/marketplace/providerdirectory,
152,IN,2013-11-26 13:14:08,INN003,PHP Dental,http://www.phpni.com/marketplace/providerdirectory,
153,IN,2013-07-31 07:05:07,INN001,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,
154,IN,2013-09-02 11:39:25,INN001,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,
155,IN,2013-07-23 22:50:01,INN001,EHB Basic Dental Plan (Low),https://www.metlife.com/dental,
156,IN,2013-07-23 22:50:01,INN002,EHB Enhanced Dental Plan (High),https://www.metlife.com/dental,
157,IN,2013-07-23 22:50:01,INN003,Family Basic Dental Plan (Low),https://www.metlife.com/dental,
158,IN,2013-07-23 22:50:01,INN004,Family Enhanced Dental Plan (High),https://www.metlife.com/dental,
159,IN,2014-01-21 08:29:49,INN001,DenteMax,http://www2.dentemax.com/,
160,IN,2014-01-21 08:29:49,INN002,Maverest Dental Alliance,http://www.maverest.com/,
161,IN,2014-01-21 08:29:49,INN001,MDwise,mdwise.org/marketplace/findadoctor,
162,IN,2014-01-21 08:29:49,INN002,MDwise,mdwise.org/marketplace/findadoctor,
163,IN,2014-01-21 08:29:49,INN003,MDwise,mdwise.org/marketplace/findadoctor,
164,IN,2014-01-21 08:29:49,INN004,MDwise,mdwise.org/marketplace/findadoctor,
165,IN,2014-01-21 08:29:49,INN005,MDwise,mdwise.org/marketplace/findadoctor,
166,IN,2014-01-21 08:29:49,INN006,MDwise,mdwise.org/marketplace/findadoctor,
167,IN,2014-01-21 08:29:49,INN007,MDwise,mdwise.org/marketplace/findadoctor,
168,IN,2014-01-21 08:29:49,INN008,MDwise,mdwise.org/marketplace/findadoctor,
169,IN,2014-01-21 08:29:49,INN009,MDwise,mdwise.org/marketplace/findadoctor,
170,IN,2014-01-21 08:29:49,INN010,MDwise,mdwise.org/marketplace/findadoctor,
171,IN,2014-01-21 08:29:49,INN011,MDwise,mdwise.org/marketplace/findadoctor,
172,IN,2014-01-21 08:29:49,INN012,MDwise,mdwise.org/marketplace/findadoctor,
173,IN,2014-01-21 08:29:49,INN013,MDwise,mdwise.org/marketplace/findadoctor,
174,IN,2014-01-21 08:29:49,INN014,MDwise,mdwise.org/marketplace/findadoctor,
175,IN,2014-01-21 08:29:49,INN015,MDwise,mdwise.org/marketplace/findadoctor,
176,IN,2014-01-21 08:29:49,INN016,MDwise,mdwise.org/marketplace/findadoctor,
177,IN,2014-01-21 08:29:49,INN017,MDwise,mdwise.org/marketplace/findadoctor,
178,IN,2014-01-21 08:29:49,INN018,MDwise,mdwise.org/marketplace/findadoctor,
179,IN,2014-01-21 08:29:49,INN019,MDwise,mdwise.org/marketplace/findadoctor,
180,IN,2014-01-21 08:29:49,INN020,MDwise,mdwise.org/marketplace/findadoctor,
181,IN,2014-01-21 08:29:49,INN021,MDwise,mdwise.org/marketplace/findadoctor,
182,IN,2014-01-21 08:29:49,INN022,MDwise,mdwise.org/marketplace/findadoctor,
183,IN,2014-01-21 08:29:49,INN023,MDwise,mdwise.org/marketplace/findadoctor,
184,IN,2014-01-17 09:36:20,INN001,Dentegra Dental PPO,http://www.dentegra.com/find-a-dentist,
185,LA,2014-01-21 08:29:49,LAN001,ACB,http://www.alwayscarebenefits.com/comm/providers/LADentalProviderDirectory.pdf,
186,LA,2014-01-21 08:29:49,LAN001,Delta Dental PPO,http://www.deltadentalins.com/find-a-dentist/,
187,LA,2014-01-21 08:29:49,LAN005,HMO Louisiana HMOPOS Vision Dental,http://www.bcbsla.com/hmopos-medical-vision-dental,
188,LA,2014-01-21 08:29:49,LAN006,Blue Connect Vision Dental,http://www.bcbsla.com/blueconnect-medical-vision-dental,
189,LA,2014-01-21 08:29:49,LAN007,Community Blue Vision Dental,http://www.bcbsla.com/communityblue-medical-vision-dental,
190,LA,2014-01-17 09:36:20,LAN001,Dentegra Dental PPO,http://www.dentegra.com/find-a-dentist,
191,LA,2014-01-21 08:29:49,LAN001,New Olreans HMOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=802,
192,LA,2014-01-21 08:29:49,LAN002,Humana ChoiceCare Network PPO,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=124,
193,LA,2014-01-21 08:29:49,LAN003,Humana Dental PPO Traditional Preferred,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,
194,LA,2014-01-15 07:08:32,LAN005,POS Network,http://www.mylahc.org/members,
195,LA,2014-01-15 07:08:32,LAN001,HMO New Orleans Area,http://www.mylahc.org/members,
196,LA,2014-01-15 07:08:32,LAN002,HMO Baton Rouge Area,http://www.mylahc.org/members,
197,LA,2014-01-15 07:08:32,LAN003,HMO Lafayette Area,http://www.mylahc.org/members,
198,LA,2014-01-15 07:08:32,LAN004,HMO Shreveport Area,http://www.mylahc.org/members,
199,LA,2014-01-21 08:29:49,LAN001,Vantage Tier 1 Network,http://www.vhpla.com/marketplace/,
200,LA,2013-06-05 12:49:14,LAN001,EHB Basic Dental Plan (Low),https://www.metlife.com/dental,
201,LA,2013-06-05 12:49:14,LAN002,EHB Enhanced Dental Plan (High),https://www.metlife.com/dental,
202,LA,2013-06-05 12:49:14,LAN003,Family Basic Dental Plan (Low),https://www.metlife.com/dental,
203,LA,2013-06-05 12:49:14,LAN004,Family Enhanced Dental Plan (High),https://www.metlife.com/dental,
204,LA,2014-01-21 08:29:49,LAN001,DenteMax,http://www2.dentemax.com/,
205,LA,2013-08-30 07:44:10,LAN001,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,
206,LA,2013-09-13 08:31:59,LAN001,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,
207,LA,2014-01-21 08:29:49,LAN001,Preferred Care PPO Vision Dental,http://www.bcbsla.com/ppo-medical-vision-dental,
208,LA,2014-01-21 08:29:49,LAN002,United Concordia Dental,http://www.bcbsla.com/uc-dental,
209,MI,2013-10-16 16:52:58,MIN001,EHB Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_MI&planType=DPPO&networkID=2,
210,MI,2013-10-16 16:52:58,MIN002,EHB Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_MI&planType=DPPO&networkID=2,
211,MI,2013-10-16 16:52:58,MIN003,Family Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_MI&planType=DPPO&networkID=2,
212,MI,2013-10-16 16:52:58,MIN004,Family Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_MI&planType=DPPO&networkID=2,
213,MO,2014-01-21 08:29:49,MON001,CONNECTION Dental through PPO USA,http://www.ppousa.com/patients/index.html,
214,MO,2014-01-21 08:29:49,MON002,DenteMax,http://www2.dentemax.com/,
215,MO,2014-01-16 07:24:04,MON001,Humana Dental PPO/Traditional Preferred,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,
216,MO,2014-03-19 07:06:49,MON001,Pathway X,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,
217,MO,2014-03-19 07:06:49,MON002,Blue Preferred,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,
218,MO,2014-03-19 07:06:49,MON003,Pathway X (with dental),https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,
219,MO,2014-03-19 07:06:49,MON004,Blue Preferred (with dental),https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,
220,MO,2014-03-19 07:06:49,MON005,Dental Prime,www.anthem.com,
221,MO,2013-07-01 22:22:31,MON001,Advantica Dental Benefits Inc.,www.advanticabenefits.com,
222,MO,2014-01-16 07:24:04,MON001,Preferred Care Blue,http://www.bluekc.com/ExchangeNetwork,
223,MO,2014-01-16 07:24:04,MON002,BlueSelect,http://www.bluekc.com/ExchangeNetwork,
