,BusinessYear,StateCode,Age,IndividualRate
397972,2014,FL,39,181.0
348520,2014,FL,51,415.35
435368,2014,FL,53,521.75
631213,2014,FL,52,16.92
926844,2014,GA,63,27.23
590886,2014,FL,45,19.06
543898,2014,FL,31,22.82
456147,2014,FL,32,254.76
185071,2014,AZ,41,255.41
975138,2014,IN,61,803.49
868547,2014,GA,51,18.79
932981,2014,GA,32,316.0
384026,2014,FL,48,495.17
979377,2014,IN,42,448.08
152502,2014,AZ,44,228.65
357899,2014,FL,49,477.07
883518,2014,GA,57,28.49
148174,2014,AZ,40,466.24
516140,2014,FL,30,9999.0
941405,2014,GA,61,529.0
487495,2014,FL,54,449.3
2347,2014,AK,25,385.0
426780,2014,FL,29,0.0
834597,2014,FL,34,54.51
747766,2014,FL,35,34.42
802940,2014,FL,55,24.06
178583,2014,AZ,31,201.27
860832,2014,GA,49,444.75
969574,2014,IN,46,548.91
588371,2014,FL,48,21.66
76,2014,AK,44,32.0
336818,2014,FL,42,287.5
365237,2014,FL,38,340.88
853845,2014,GA,26,271.68
983672,2014,IN,35,323.94
104620,2014,AZ,62,707.33
601139,2014,FL,48,32.85
521094,2014,FL,23,309.01
824486,2014,FL,43,54.95
580054,2014,FL,40,17.15
258964,2014,FL,34,394.68
1030994,2014,IN,50,575.96
1014667,2014,IN,41,411.78
331565,2014,FL,38,307.31
691238,2014,FL,33,10.21
660123,2014,FL,63,25.36
150559,2014,AZ,33,190.29
158733,2014,AZ,42,411.95
129249,2014,AZ,54,468.01
964625,2014,IN,22,235.05
597430,2014,FL,65 and over,32.17
142460,2014,AZ,49,575.98
356409,2014,FL,40,341.91
726231,2014,FL,0-20,128.35
1014009,2014,IN,36,348.04
579826,2014,FL,41,17.0
848568,2014,GA,29,339.96
262678,2014,FL,50,509.39
659516,2014,FL,35,20.14
253923,2014,FL,36,366.58
70887,2014,AL,62,915.57
72704,2014,AL,57,784.93
47211,2014,AL,31,371.55
627145,2014,FL,42,21.15
845714,2014,GA,56,531.74
710373,2014,FL,50,519.02
221107,2014,AZ,36,551.31
992073,2014,IN,64,23.79
939723,2014,GA,46,298.0
717192,2014,FL,33,465.54
997915,2014,IN,64,28.13
644295,2014,FL,61,17.26
376728,2014,FL,33,353.12
761213,2014,FL,50,14.99
20909,2014,AL,31,8.34
81373,2014,AL,58,23.07
511094,2014,FL,55,27.22
823541,2014,FL,64,26.95
477798,2014,FL,63,838.61
342362,2014,FL,54,409.37
168271,2014,AZ,25,218.08
687782,2014,FL,27,20.24
210867,2014,AZ,44,380.0
677701,2014,FL,0-20,31.93
977503,2014,IN,30,273.6
548359,2014,FL,49,24.31
303810,2014,FL,52,343.04
753716,2014,FL,51,32.49
714272,2014,FL,47,543.82
775937,2014,FL,54,21.99
522802,2014,FL,49,477.34
48008,2014,AL,47,768.58
850611,2014,GA,24,267.95
86734,2014,AL,25,38.48
17598,2014,AL,32,8.34
936875,2014,GA,29,267.0
254328,2014,FL,27,368.91
1015125,2014,IN,30,485.5
997970,2014,IN,27,38.05
374019,2014,FL,59,962.92
459370,2014,FL,35,316.33
296571,2014,FL,21,296.69
448220,2014,FL,55,666.02
393444,2014,FL,65 and over,561.0
881285,2014,GA,32,11.51
318439,2014,FL,53,469.4
1044996,2014,IN,56,588.07
331774,2014,FL,50,442.24
103013,2014,AZ,63,790.3
538157,2014,FL,33,23.21
353364,2014,FL,35,354.48
557873,2014,FL,0-20,21.08
173880,2014,AZ,57,435.83
723093,2014,FL,56,547.57
377251,2014,FL,65 and over,860.59
388365,2014,FL,56,629.17
971145,2014,IN,0-20,138.99
574545,2014,FL,42,19.15
73275,2014,AL,61,718.12
422310,2014,FL,22,0.0
78722,2014,AL,22,28.43
296630,2014,FL,50,529.88
439302,2014,FL,30,326.71
837909,2014,GA,34,52.27
127199,2014,AZ,48,345.07
354521,2014,FL,62,692.94
813650,2014,FL,63,54.51
368871,2014,FL,61,812.62
463414,2014,FL,31,262.66
298409,2014,FL,0-20,167.28
13783,2014,AL,35,99.0
1038244,2014,IN,58,646.21
895031,2014,GA,34,24.55
1013061,2014,IN,54,689.91
168513,2014,AZ,37,325.8
202107,2014,AZ,62,648.92
128509,2014,AZ,53,438.34
813685,2014,FL,52,33.7
548930,2014,FL,25,19.45
460421,2014,FL,28,217.64
976167,2014,IN,24,217.7
249467,2014,FL,45,491.9
779010,2014,FL,45,21.99
644548,2014,FL,49,20.18
928043,2014,GA,0-20,27.23
925110,2014,GA,31,289.73
687334,2014,FL,39,19.05
521528,2014,FL,56,34.0
788896,2014,FL,41,29.68
655256,2014,FL,21,42.2
9541,2014,AK,38,420.48
865514,2014,GA,39,22.78
957837,2014,IN,26,297.16
606683,2014,FL,26,27.6
744419,2014,FL,43,326.2
338663,2014,FL,45,356.66
451675,2014,FL,22,283.42
893677,2014,GA,60,24.55
593229,2014,FL,50,31.52
1030987,2014,IN,49,442.7
278259,2014,FL,65 and over,836.11
84097,2014,AL,40,19.57
61026,2014,AL,35,474.35
362832,2014,FL,31,372.31
161234,2014,AZ,36,286.07
1032057,2014,IN,35,369.91
906468,2014,GA,54,24.11
109521,2014,AZ,30,325.84
13999,2014,AL,21,99.0
472623,2014,FL,40,283.63
669276,2014,FL,39,21.26
913199,2014,GA,0-20,26.23
516313,2014,FL,25,9999.0
776951,2014,FL,56,21.99
519847,2014,FL,44,361.71
744589,2014,FL,31,374.32
497280,2014,FL,41,305.92
740172,2014,FL,43,21.99
849795,2014,GA,44,342.33
619783,2014,FL,41,32.68
445316,2014,FL,54,736.75
701469,2014,FL,63,582.53
196276,2014,AZ,30,242.98
895351,2014,GA,32,24.67
723153,2014,FL,24,233.53
252783,2014,FL,24,356.09
873523,2014,GA,55,26.93
111707,2014,AZ,53,400.66
1045662,2014,IN,42,510.87
250640,2014,FL,59,824.5
181996,2014,AZ,24,211.15
87416,2014,AL,44,19.42
982776,2014,IN,59,812.19
5456,2014,AK,49,652.15
109559,2014,AZ,38,344.99
242420,2014,FL,59,99.99
78236,2014,AL,42,23.26
743281,2014,FL,48,11.01
683956,2014,FL,65 and over,19.46
984888,2014,IN,55,589.06
113736,2014,AZ,45,344.55
1043449,2014,IN,59,628.76
341959,2014,FL,37,241.23
578072,2014,FL,58,29.17
645253,2014,FL,34,25.95
255348,2014,FL,27,337.46
1025254,2014,IN,51,637.54
193161,2014,AZ,33,279.85
680398,2014,FL,49,19.05
686534,2014,FL,21,27.05
962886,2014,IN,24,270.97
378345,2014,FL,60,638.07
331002,2014,FL,32,295.26
613970,2014,FL,32,27.34
280754,2014,FL,39,362.54
352022,2014,FL,54,376.58
493437,2014,FL,62,653.63
46826,2014,AL,27,238.64
808518,2014,FL,21,30.35
261133,2014,FL,47,442.91
925127,2014,GA,48,408.72
776671,2014,FL,52,21.99
331,2014,AK,23,31.03
770526,2014,FL,25,15.99
393787,2014,FL,53,546.57
201566,2014,AZ,65 and over,425.91
797739,2014,FL,52,29.68
971659,2014,IN,47,22.89
401325,2014,FL,23,239.61
154501,2014,AZ,65 and over,814.64
966835,2014,IN,53,22.89
833595,2014,FL,44,32.88
889264,2014,GA,53,1053.0
119856,2014,AZ,27,224.04
435237,2014,FL,38,313.49
432957,2014,FL,61,882.32
66284,2014,AL,62,772.23
274682,2014,FL,30,347.21
276744,2014,FL,52,540.72
603328,2014,FL,29,27.18
758847,2014,FL,30,399.96
666952,2014,FL,27,18.11
397194,2014,FL,43,275.0
166728,2014,AZ,46,490.2
986677,2014,IN,58,23.79
641535,2014,FL,61,15.8
193679,2014,AZ,25,216.11
1010501,2014,IN,35,25.45
179370,2014,AZ,51,383.39
751412,2014,FL,47,28.33
258518,2014,FL,40,402.51
690086,2014,FL,31,20.67
375011,2014,FL,49,495.61
232308,2014,AZ,30,9.23
570864,2014,FL,42,16.33
444026,2014,FL,49,475.77
924933,2014,GA,38,310.83
859353,2014,GA,42,321.84
949427,2014,IN,64,830.97
460276,2014,FL,21,233.13
553577,2014,FL,35,21.15
249701,2014,FL,0-20,216.66
483264,2014,FL,55,559.07
109855,2014,AZ,51,523.13
756525,2014,FL,54,32.49
419350,2014,FL,0-20,34.99
877383,2014,GA,53,42.14
790456,2014,FL,37,49.34
270359,2014,FL,57,521.62
695377,2014,FL,32,9.95
810883,2014,FL,56,54.95
283940,2014,FL,53,584.22
338841,2014,FL,42,282.37
455116,2014,FL,59,635.92
1036138,2014,IN,47,598.54
615900,2014,FL,31,17.26
996392,2014,IN,59,31.02
192330,2014,AZ,56,473.66
669516,2014,FL,21,16.92
8392,2014,AK,38,444.64
962523,2014,IN,52,678.63
1027288,2014,IN,28,421.75
129210,2014,AZ,45,316.54
787926,2014,FL,37,30.35
465525,2014,FL,26,289.89
493230,2014,FL,39,272.58
299661,2014,FL,48,467.99
986129,2014,IN,60,27.33
206489,2014,AZ,53,507.16
886487,2014,GA,36,9.37
161951,2014,AZ,62,999999.0
840315,2014,GA,48,52.69
1014874,2014,IN,57,804.64
332,2014,AK,24,31.03
144502,2014,AZ,44,361.08
119234,2014,AZ,41,330.28
968494,2014,IN,32,504.85
753961,2014,FL,0-20,29.35
688358,2014,FL,51,17.78
842387,2014,GA,50,295.53
1004894,2014,IN,53,21.04
649428,2014,FL,51,20.14
788812,2014,FL,49,48.94
299342,2014,FL,26,322.04
212029,2014,AZ,58,772.81
1004031,2014,IN,30,342.21
96900,2014,AZ,38,38.4
963539,2014,IN,53,616.98
1019403,2014,IN,48,26.24
180617,2014,AZ,24,235.34
131336,2014,AZ,24,180.93
375550,2014,FL,42,350.68
945708,2014,GA,21,230.45
790500,2014,FL,35,30.35
867536,2014,GA,51,17.69
153303,2014,AZ,63,778.78
482907,2014,FL,0-20,166.1
980519,2014,IN,61,22.89
860516,2014,GA,55,692.79
369419,2014,FL,59,634.84
29483,2014,AL,24,21.0
132817,2014,AZ,26,248.61
1022119,2014,IN,30,341.4
107092,2014,AZ,50,473.32
813382,2014,FL,25,26.74
212087,2014,AZ,27,309.68
895164,2014,GA,29,36.96
686281,2014,FL,44,10.21
772410,2014,FL,23,15.99
452452,2014,FL,63,798.73
365781,2014,FL,34,349.01
384145,2014,FL,62,508.08
493825,2014,FL,36,289.95
1020166,2014,IN,64,25.47
348331,2014,FL,49,378.96
1002840,2014,IN,27,439.75
794374,2014,FL,45,30.11
912669,2014,GA,52,24.44
310869,2014,FL,40,295.69
956358,2014,IN,34,324.09
1000481,2014,IN,25,20.62
717141,2014,FL,23,384.72
850431,2014,GA,34,360.8
162915,2014,AZ,51,328.0
263241,2014,FL,55,646.01
869179,2014,GA,45,14.76
810205,2014,FL,Family Option,29.44
961092,2014,IN,23,298.57
607333,2014,FL,32,27.6
520563,2014,FL,34,309.5
575288,2014,FL,53,20.87
628790,2014,FL,36,19.56
539441,2014,FL,60,33.55
746989,2014,FL,51,599.39
13013,2014,AL,39,999999.0
803122,2014,FL,53,24.25
676441,2014,FL,48,10.21
399704,2014,FL,23,261.0
39742,2014,AL,26,201.07
4931,2014,AK,36,415.08
566699,2014,FL,37,14.83
948633,2014,GA,48,406.75
743747,2014,FL,45,21.99
281375,2014,FL,59,592.31
893013,2014,GA,40,22.03
283455,2014,FL,41,333.54
53287,2014,AL,32,389.9
620252,2014,FL,45,10.93
264569,2014,FL,38,231.18
754175,2014,FL,50,32.49
604866,2014,FL,49,27.6
713468,2014,FL,25,224.98
435449,2014,FL,62,734.8
547136,2014,FL,35,23.75
662489,2014,FL,50,28.78
426583,2014,FL,51,0.0
225296,2014,AZ,38,28.9
144668,2014,AZ,31,283.82
66264,2014,AL,57,693.25
879785,2014,GA,58,17.26
597241,2014,FL,60,32.17
606171,2014,FL,0-20,27.6
1008915,2014,IN,46,481.35
424614,2014,FL,34,0.0
664470,2014,FL,28,28.66
761368,2014,FL,21,17.99
595656,2014,FL,39,21.41
570964,2014,FL,62,24.53
17471,2014,AL,43,15.9
821797,2014,FL,22,32.88
186217,2014,AZ,40,285.97
199132,2014,AZ,54,324.37
846198,2014,GA,61,781.94
971663,2014,IN,49,22.89
932832,2014,GA,48,509.0
50356,2014,AL,36,388.01
411506,2014,FL,52,0.0
77470,2014,AL,58,28.66
92347,2014,AZ,39,23.03
773691,2014,FL,62,17.99
626758,2014,FL,32,38.94
158764,2014,AZ,58,728.42
501636,2014,FL,27,28.27
461672,2014,FL,37,292.54
883325,2014,GA,48,24.25
74413,2014,AL,37,46.84
680889,2014,FL,34,12.86
118223,2014,AZ,23,175.03
466448,2014,FL,29,230.89
434551,2014,FL,54,682.74
958826,2014,IN,21,212.68
539910,2014,FL,61,37.26
585584,2014,FL,42,15.05
639336,2014,FL,65 and over,18.41
571195,2014,FL,62,33.76
695771,2014,FL,58,27.17
555330,2014,FL,63,27.84
399638,2014,FL,49,476.0
535503,2014,FL,54,27.58
470672,2014,FL,21,206.81
380219,2014,FL,31,299.94
566200,2014,FL,29,31.13
738413,2014,FL,58,15.35
866262,2014,GA,51,29.05
53474,2014,AL,33,336.83
420635,2014,FL,43,0.0
751291,2014,FL,64,34.64
620949,2014,FL,26,9.06
628691,2014,FL,33,27.34
149936,2014,AZ,54,402.55
204270,2014,AZ,51,391.71
730287,2014,FL,28,279.08
430125,2014,FL,33,33.47
960334,2014,IN,65 and over,664.2
649660,2014,FL,29,35.45
841856,2014,GA,25,171.56
847716,2014,GA,43,275.63
154543,2014,AZ,61,746.06
793528,2014,FL,27,24.25
633876,2014,FL,49,16.92
794623,2014,FL,64,29.92
999338,2014,IN,56,99.99
143387,2014,AZ,51,612.96
634677,2014,FL,36,28.66
1014357,2014,IN,63,1106.31
362164,2014,FL,65 and over,703.5
187790,2014,AZ,33,213.72
106571,2014,AZ,38,351.45
283081,2014,FL,38,307.6
505610,2014,FL,45,21.82
851031,2014,GA,62,790.33
1836,2014,AK,61,1753.33
69043,2014,AL,61,614.97
513949,2014,FL,39,9999.0
314598,2014,FL,64,611.35
271302,2014,FL,60,644.29
737437,2014,FL,40,15.35
974947,2014,IN,35,22.89
674452,2014,FL,37,20.67
681251,2014,FL,28,12.1
54680,2014,AL,59,1194.13
126487,2014,AZ,54,446.09
959107,2014,IN,30,247.6
781840,2014,FL,23,15.99
889495,2014,GA,65 and over,1065.0
507656,2014,FL,21,15.85
362095,2014,FL,31,335.78
287449,2014,FL,60,832.66
828277,2014,FL,62,33.15
986703,2014,IN,25,0.0
352076,2014,FL,35,299.74
237183,2014,FL,0-20,23.04
663552,2014,FL,29,42.2
772576,2014,FL,51,15.99
250040,2014,FL,51,636.34
151909,2014,AZ,49,421.19
97932,2014,AZ,58,49.76
636429,2014,FL,38,17.98
353435,2014,FL,25,198.54
312600,2014,FL,31,262.69
567134,2014,FL,32,15.42
757139,2014,FL,24,326.24
366334,2014,FL,34,412.4
1020459,2014,IN,41,306.96
384946,2014,FL,48,511.02
629338,2014,FL,34,26.14
93381,2014,AZ,61,52.27
718699,2014,FL,59,1030.11
443750,2014,FL,64,902.36
343762,2014,FL,64,519.14
715397,2014,FL,42,463.31
848505,2014,GA,62,525.01
654261,2014,FL,30,35.45
316296,2014,FL,39,292.97
817374,2014,FL,61,33.7
776527,2014,FL,46,16.99
83828,2014,AL,44,38.48
240454,2014,FL,25,99.99
266883,2014,FL,32,361.9
367761,2014,FL,58,586.01
951891,2014,IN,51,315.39
656910,2014,FL,0-20,28.66
433432,2014,FL,22,295.47
597084,2014,FL,41,21.41
378551,2014,FL,25,291.98
439400,2014,FL,41,343.46
564696,2014,FL,51,20.34
682618,2014,FL,61,12.61
520752,2014,FL,36,28.0
809902,2014,FL,Family Option,21.33
43919,2014,AL,33,195.8
672586,2014,FL,57,23.23
514799,2014,FL,50,441.86
75258,2014,AL,54,28.66
738202,2014,FL,46,11.01
703641,2014,FL,37,370.45
106807,2014,AZ,39,335.47
84247,2014,AL,23,23.07
682634,2014,FL,31,20.67
765207,2014,FL,42,21.99
1015286,2014,IN,42,247.47
544506,2014,FL,61,36.63
449096,2014,FL,60,919.28
703407,2014,FL,36,375.5
878729,2014,GA,36,26.58
1035592,2014,IN,29,343.41
715783,2014,FL,28,377.51
749606,2014,FL,35,34.42
973593,2014,IN,48,324.04
248939,2014,FL,43,424.2
1037392,2014,IN,54,699.53
145670,2014,AZ,47,359.0
257362,2014,FL,27,287.57
70001,2014,AL,25,469.01
978491,2014,IN,52,501.27
332795,2014,FL,55,609.97
717536,2014,FL,56,924.95
679437,2014,FL,54,28.58
967793,2014,IN,44,287.14
989362,2014,IN,0-20,24.82
902,2014,AK,30,0.0
82574,2014,AL,61,24.08
139222,2014,AZ,64,616.65
521760,2014,FL,34,26.0
1034478,2014,IN,35,431.06
704693,2014,FL,64,905.05
369340,2014,FL,65 and over,826.53
358776,2014,FL,27,226.72
471761,2014,FL,52,428.11
102371,2014,AZ,26,330.49
389258,2014,FL,42,374.9
578319,2014,FL,61,22.79
228472,2014,AZ,62,27.2
314030,2014,FL,56,524.93
962269,2014,IN,51,20.19
70367,2014,AL,24,372.88
874742,2014,GA,0-20,39.15
181620,2014,AZ,41,303.52
488499,2014,FL,46,464.16
337955,2014,FL,59,605.84
613381,2014,FL,60,15.8
459504,2014,FL,31,309.08
153899,2014,AZ,61,558.81
884463,2014,GA,36,10.47
817700,2014,FL,65 and over,54.51
985204,2014,IN,49,475.7
414074,2014,FL,51,0.0
729683,2014,FL,22,93.14
173734,2014,AZ,28,187.5
1000193,2014,IN,37,99.99
92925,2014,AZ,65 and over,338.42
138443,2014,AZ,53,495.01
131516,2014,AZ,23,177.95
896794,2014,GA,49,22.03
716776,2014,FL,42,471.86
526623,2014,FL,36,315.13
533736,2014,FL,23,27.84
196116,2014,AZ,36,299.04
730550,2014,FL,61,468.75
472082,2014,FL,51,366.6
612364,2014,FL,57,16.92
181363,2014,AZ,35,253.29
758709,2014,FL,30,258.14
807567,2014,FL,36,48.94
270901,2014,FL,0-20,248.32
342492,2014,FL,27,227.19
355213,2014,FL,40,346.59
645392,2014,FL,57,25.67
180384,2014,AZ,24,232.3
718289,2014,FL,23,395.74
869499,2014,GA,21,11.81
364048,2014,FL,41,313.39
929087,2014,GA,52,27.01
375472,2014,FL,49,495.02
968847,2014,IN,51,32.11
359262,2014,FL,40,365.3
721976,2014,FL,24,359.65
947422,2014,GA,33,276.06
560808,2014,FL,55,27.87
533307,2014,FL,29,26.75
430481,2014,FL,32,0.0
139460,2014,AZ,31,241.19
190491,2014,AZ,56,381.94
772252,2014,FL,49,10.99
193721,2014,AZ,35,258.32
1025795,2014,IN,48,28.7
823866,2014,FL,21,26.95
238073,2014,FL,36,99.0
236046,2014,FL,33,99.0
862278,2014,GA,23,311.69
849143,2014,GA,52,784.53
414415,2014,FL,48,33.47
249381,2014,FL,37,394.46
560484,2014,FL,36,20.61
880814,2014,GA,0-20,39.15
802608,2014,FL,45,49.34
161733,2014,AZ,54,999999.0
630002,2014,FL,44,25.74
690824,2014,FL,33,12.86
885819,2014,GA,58,28.49
733243,2014,FL,57,21.99
200939,2014,AZ,46,235.86
602063,2014,FL,52,27.18
913352,2014,GA,51,19.24
464740,2014,FL,23,259.46
910633,2014,GA,59,22.53
16005,2014,AL,49,24.34
618471,2014,FL,29,38.94
515640,2014,FL,56,9999.0
734836,2014,FL,55,11.01
657209,2014,FL,32,30.05
204633,2014,AZ,49,309.71
206905,2014,AZ,65 and over,945.84
948219,2014,GA,48,258.37
45973,2014,AL,44,453.12
508690,2014,FL,43,23.05
744970,2014,FL,61,897.78
814554,2014,FL,47,54.95
663205,2014,FL,40,20.14
428915,2014,FL,0-20,34.99
946251,2014,GA,58,505.98
302936,2014,FL,29,310.51
1031902,2014,IN,64,1128.05
314472,2014,FL,47,339.92
490598,2014,FL,29,338.93
69296,2014,AL,33,390.21
982366,2014,IN,63,882.09
53176,2014,AL,51,643.95
732774,2014,FL,58,15.35
735784,2014,FL,59,11.01
614266,2014,FL,42,32.68
574599,2014,FL,53,23.64
534695,2014,FL,30,20.37
826678,2014,FL,27,54.95
784632,2014,FL,55,10.99
3908,2014,AK,62,696.0
554099,2014,FL,47,23.31
212108,2014,AZ,32,349.58
360231,2014,FL,65 and over,901.39
395592,2014,FL,51,428.0
322815,2014,FL,33,279.88
493843,2014,FL,54,503.29
37316,2014,AL,46,401.15
775647,2014,FL,40,17.99
651406,2014,FL,28,11.43
985418,2014,IN,33,261.6
650238,2014,FL,42,13.45
775524,2014,FL,55,17.99
926507,2014,GA,48,27.01
968668,2014,IN,21,414.34
377243,2014,FL,61,806.14
631577,2014,FL,50,15.8
472660,2014,FL,31,268.3
237742,2014,FL,27,99.0
812630,2014,FL,55,32.88
53412,2014,AL,64,934.29
774385,2014,FL,0-20,14.99
454949,2014,FL,30,309.59
90780,2014,AZ,54,1054.0
865062,2014,GA,47,25.72
516383,2014,FL,60,610.51
854271,2014,GA,0-20,218.16
622403,2014,FL,63,27.04
51441,2014,AL,31,252.33
969778,2014,IN,37,466.85
716207,2014,FL,0-20,223.88
894551,2014,GA,60,24.67
94046,2014,AZ,36,42.53
389230,2014,FL,28,307.56
662336,2014,FL,65 and over,20.14
524396,2014,FL,64,35.0
132850,2014,AZ,35,296.68
456706,2014,FL,39,319.31
43117,2014,AL,57,489.8
696662,2014,FL,29,11.12
303518,2014,FL,44,239.84
177562,2014,AZ,57,333.29
984871,2014,IN,38,329.13
76627,2014,AL,43,46.84
659419,2014,FL,33,24.5
552812,2014,FL,0-20,20.89
196952,2014,AZ,61,554.33
899079,2014,GA,62,99.0
412835,2014,FL,34,0.0
1000031,2014,IN,59,99.99
970835,2014,IN,49,32.11
909465,2014,GA,56,48.9
81526,2014,AL,43,19.42
676485,2014,FL,46,19.46
220082,2014,AZ,30,379.54
682613,2014,FL,56,12.61
547946,2014,FL,59,30.95
183094,2014,AZ,60,493.16
780980,2014,FL,37,15.99
151083,2014,AZ,51,734.48
167642,2014,AZ,40,363.17
470432,2014,FL,57,612.66
998417,2014,IN,60,38.05
277931,2014,FL,33,429.85
693938,2014,FL,65 and over,11.79
232350,2014,AZ,26,27.55
678467,2014,FL,50,12.61
894450,2014,GA,51,36.96
78357,2014,AL,25,28.43
963747,2014,IN,44,451.04
524046,2014,FL,27,331.82
211141,2014,AZ,0-20,160.5
786157,2014,FL,62,29.92
314379,2014,FL,47,338.07
808488,2014,FL,37,49.34
786286,2014,FL,53,30.11
596554,2014,FL,63,32.17
614277,2014,FL,48,17.26
200583,2014,AZ,49,300.87
340367,2014,FL,23,168.34
668738,2014,FL,46,10.76
366710,2014,FL,38,357.81
404302,2014,FL,31,272.26
456660,2014,FL,39,317.58
563272,2014,FL,42,16.47
235484,2014,FL,23,99.0
937169,2014,GA,42,308.0
223799,2014,AZ,25,27.2
428143,2014,FL,62,24.61
750779,2014,FL,58,32.23
735745,2014,FL,40,11.01
403646,2014,FL,51,567.68
707637,2014,FL,54,767.53
88878,2014,AZ,38,1038.0
783324,2014,FL,35,15.99
439411,2014,FL,42,391.04
949508,2014,IN,32,348.04
573957,2014,FL,63,24.53
440649,2014,FL,42,374.9
209714,2014,AZ,32,294.11
